accx,accy,accz,grox,groy,groz,magx,magy,magz,count
-56,80,7032,88,679,-468,0,0,0,381
-88,72,7112,51,679,-505,0,0,0,382
-28,32,7088,76,708,-512,0,0,0,383
-40,48,7200,85,691,-461,0,0,0,384
-24,120,7136,101,644,-638,0,0,0,385
-16,104,7092,33,634,-471,0,0,0,386
-44,104,7108,30,671,-491,0,0,0,387
-4,128,7044,84,667,-538,0,0,0,388
-32,84,7144,71,703,-535,0,0,0,389
-56,124,7168,77,712,-513,0,0,0,390
-108,76,7160,63,629,-524,0,0,0,391
-68,68,7092,93,672,-562,0,0,0,392
-56,108,7108,150,729,-540,0,0,0,393
-56,68,7128,82,671,-514,0,0,0,394
-60,84,7100,74,745,-512,0,0,0,395
-44,68,7108,97,629,-474,0,0,0,396
-44,96,7148,99,674,-474,0,0,0,397
-28,108,7060,118,703,-514,0,0,0,398
-12,84,7100,77,701,-546,0,0,0,399
-28,96,7132,97,624,-548,0,0,0,400
4,100,7148,61,659,-516,0,0,0,401
12,108,7080,73,663,-493,0,0,0,402
-16,52,7160,75,681,-517,0,0,0,403
-20,104,7140,46,734,-521,0,0,0,404
-40,136,7152,90,684,-471,0,0,0,405
-20,92,7168,65,723,-529,0,0,0,406
-16,40,7136,98,721,-518,0,0,0,407
-48,112,7168,75,689,-533,0,0,0,408
-60,76,7104,80,685,-533,0,0,0,409
-24,124,7184,80,703,-531,0,0,0,410
-12,52,7188,52,675,-538,0,0,0,411
-40,108,7128,164,644,-564,0,0,0,412
-68,48,7188,86,685,-494,0,0,0,413
-120,120,7132,74,676,-488,0,0,0,414
-48,104,7140,42,697,-485,0,0,0,415
-48,144,7092,101,670,-500,0,0,0,416
-32,120,7172,98,693,-476,0,0,0,417
-64,112,7112,44,684,-480,0,0,0,418
-44,96,7112,118,660,-512,0,0,0,419
-92,156,7124,62,698,-513,0,0,0,420
-60,132,7044,120,656,-488,0,0,0,421
-32,140,7092,67,644,-570,0,0,0,422
-60,92,7132,63,615,-492,0,0,0,423
8,84,7128,68,661,-526,0,0,0,424
-12,96,7176,40,703,-454,0,0,0,425
-4,100,7152,32,684,-526,0,0,0,426
-28,108,7092,71,650,-519,0,0,0,427
-24,120,7088,70,698,-534,0,0,0,428
-68,48,7084,70,653,-496,0,0,0,429
-68,104,7108,82,697,-450,0,0,0,430
-28,120,7128,34,686,-571,0,0,0,431
4,76,7152,80,698,-562,0,0,0,432
-36,140,7108,103,702,-441,0,0,0,433
-36,92,7088,56,679,-513,0,0,0,434
-48,60,7120,73,680,-564,0,0,0,435
-28,44,7200,57,665,-505,0,0,0,436
-64,124,7116,89,679,-461,0,0,0,437
-20,136,7164,94,671,-522,0,0,0,438
-40,76,7132,80,722,-562,0,0,0,439
-40,128,7044,60,705,-519,0,0,0,440
-48,64,7072,45,681,-477,0,0,0,441
4,108,7044,101,648,-501,0,0,0,442
-24,120,7160,108,684,-539,0,0,0,443
-72,76,7240,47,683,-495,0,0,0,444
-40,108,7108,66,673,-536,0,0,0,445
-112,100,7104,102,691,-502,0,0,0,446
-96,60,7080,97,637,-534,0,0,0,447
-100,84,7184,53,626,-536,0,0,0,448
-56,112,7180,71,665,-532,0,0,0,449
-68,140,7076,92,648,-467,0,0,0,450
-28,164,7136,79,658,-484,0,0,0,451
-116,124,7084,68,682,-508,0,0,0,452
-40,100,7184,92,744,-467,0,0,0,453
-100,80,7124,82,707,-483,0,0,0,454
-36,68,7156,112,675,-445,0,0,0,455
-44,96,7116,87,645,-491,0,0,0,456
-60,32,7104,82,676,-523,0,0,0,457
8,108,7120,90,705,-468,0,0,0,458
16,76,7156,52,710,-477,0,0,0,459
8,80,7160,97,651,-542,0,0,0,460
-56,116,7100,51,701,-489,0,0,0,461
-16,92,7196,94,656,-490,0,0,0,462
-20,72,7168,26,646,-506,0,0,0,463
-80,88,7108,42,675,-494,0,0,0,464
-36,92,7132,101,698,-495,0,0,0,465
-16,68,7096,129,632,-491,0,0,0,466
-20,84,7140,57,698,-538,0,0,0,467
-28,96,7108,37,665,-541,0,0,0,468
-44,128,7084,99,738,-548,0,0,0,469
-36,148,7084,59,684,-535,0,0,0,470
12,112,7060,111,689,-509,0,0,0,471
-52,104,7140,70,652,-550,0,0,0,472
-72,64,7140,63,691,-539,0,0,0,473
-120,84,7076,63,665,-507,0,0,0,474
-80,112,7136,79,646,-518,0,0,0,475
-56,112,7084,81,723,-520,0,0,0,476
-52,80,7080,70,675,-521,0,0,0,477
-64,72,7140,68,742,-542,0,0,0,478
-96,108,7212,43,647,-535,0,0,0,479
-76,112,7144,40,710,-497,0,0,0,480
-60,88,7132,75,669,-601,0,0,0,481
-24,64,7128,79,665,-531,0,0,0,482
-68,60,7136,46,664,-508,0,0,0,483
-52,56,7128,74,627,-494,0,0,0,484
-36,128,7140,145,715,-472,0,0,0,485
-48,84,7144,40,686,-424,0,0,0,486
-44,92,7192,81,667,-486,0,0,0,487
-52,104,7056,56,705,-551,0,0,0,488
-24,44,7152,78,710,-472,0,0,0,489
-32,132,7080,53,655,-456,0,0,0,490
-28,96,7152,21,644,-536,0,0,0,491
-60,56,7156,23,603,-500,0,0,0,492
8,152,7116,44,663,-548,0,0,0,493
16,76,7120,59,663,-504,0,0,0,494
-16,0,7152,82,665,-465,0,0,0,495
-60,92,7148,37,680,-520,0,0,0,496
28,108,7168,51,647,-512,0,0,0,497
-44,92,7136,62,641,-555,0,0,0,498
-92,80,7080,82,677,-502,0,0,0,499
-52,120,7176,71,693,-492,0,0,0,500
-16,104,7192,75,618,-563,0,0,0,501
-60,116,7148,64,654,-590,0,0,0,502
-76,80,7064,92,701,-520,0,0,0,503
-96,100,7096,57,663,-534,0,0,0,504
-112,64,7168,100,681,-526,0,0,0,505
-56,136,7120,39,667,-510,0,0,0,506
-16,64,7160,87,643,-483,0,0,0,507
-56,156,7168,92,698,-512,0,0,0,508
